No,Bulan,Tonase (Ton),Ritasi (Rit),Kompensasi Jasa Pelayanan (Rp),Kompensasi Dampak Negatif (Rp)
1,Januari,41060.712,8034,2053035600,428465340
2,Februari,37494.044,7238,1874702200,389775330
3,Maret,40727.04,7882,2036352000,423682800
4,April,39645.088,7661,1982254400,412253160
5,Mei,38754.492,7457,1937724600,402513690
6,Juni,38909.668,7472,1945483400,403902510
7,Juli,40678.484,7805,2033924200,422163630
8,Agustus,40889.352,7820,2044467600,423970140
9,September,39727.436,7644,1986371800,412615770
10,Oktober,39933.068,7731,1996653400,415463010
11,November,32962.524,6200,1648126200,340218930
12,Desember,36221.22,6962,1811061000,376089150
